year,km_driven,fuel,seller_type,transmission,owner,BrandName,log_SellingPrice,is_outlier
1998,60000,Petrol,Dealer,Manual,Third Owner,Maruti,11.082157933374816,True
2003,120000,Petrol,Individual,Automatic,Second Owner,Toyota,11.461642696843066,True
2004,60000,Petrol,Individual,Manual,Third Owner,Maruti,10.308985993422082,True
2000,42743,Petrol,Dealer,Manual,Third Owner,Ford,9.99884318585288,True
2019,20000,Diesel,Individual,Automatic,First Owner,Ford,14.978661680269907,True
2005,25000,Petrol,Individual,Manual,Second Owner,Ford,9.90353755128617,True
2003,50000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2010,90000,Petrol,Individual,Manual,First Owner,Tata,10.596659732783579,True
2001,70000,Petrol,Individual,Manual,First Owner,Maruti,11.034905792929415,True
2009,50000,Petrol,Individual,Manual,Third Owner,Tata,10.463131911491967,True
2002,120000,Diesel,Individual,Manual,Fourth & Above Owner,Ambassador,10.819798284210286,True
2007,100000,CNG,Individual,Manual,Fourth & Above Owner,Maruti,10.714439990727769,True
2018,56000,Diesel,Dealer,Automatic,First Owner,Ford,14.79946031214395,True
2017,60000,Diesel,Dealer,Automatic,First Owner,Ford,14.79946031214395,True
2005,80000,Petrol,Individual,Manual,Third Owner,Ford,10.819798284210286,True
2006,110000,Petrol,Individual,Automatic,Second Owner,Bmw,13.081543466215237,True
2014,40000,Petrol,Individual,Manual,First Owner,Tata,10.915106645867503,True
2001,100000,Diesel,Individual,Manual,Third Owner,Mahindra,11.289794413577894,True
2012,115992,Diesel,Dealer,Automatic,Third Owner,Volvo,14.375126917328105,True
2008,100000,Diesel,Individual,Manual,Third Owner,Tata,11.156264806643742,True
1998,120000,Petrol,Individual,Manual,Second Owner,Honda,11.350418300109132,True
2003,50000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,10.778977123006351,True
2018,9422,Diesel,Individual,Automatic,First Owner,Bmw,15.38412668421143,True
2012,149000,Diesel,Individual,Automatic,Second Owner,Land rover,14.66950068935403,True
2007,52000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2019,5000,Diesel,Individual,Automatic,First Owner,Toyota,14.946912992035967,True
2016,13000,Petrol,Dealer,Automatic,First Owner,Audi,16.001561947061912,True
2015,30000,Diesel,Dealer,Automatic,First Owner,Audi,14.978661680269907,True
2010,100000,Diesel,Dealer,Automatic,First Owner,Land rover,15.250595321348806,True
2019,12999,Diesel,Dealer,Automatic,First Owner,Bmw,15.38412668421143,True
2003,78098,Petrol,Individual,Manual,First Owner,Maruti,10.819798284210286,True
2016,77350,Diesel,Dealer,Automatic,First Owner,Mercedesbenz,15.520258832020865,True
2017,80000,Diesel,Individual,Automatic,First Owner,Volvo,15.319588176962746,True
2004,60000,Petrol,Individual,Manual,First Owner,Maruti,10.714439990727769,True
2013,57353,Petrol,Trustmark Dealer,Manual,First Owner,Honda,12.59473402514672,True
2002,116000,Diesel,Individual,Manual,Second Owner,Skoda,11.407576060361786,True
2016,70000,Petrol,Individual,Automatic,Second Owner,Toyota,14.731801689838349,True
2004,90000,Petrol,Individual,Manual,Second Owner,Maruti,10.53212287826962,True
2019,10000,Diesel,Individual,Automatic,First Owner,Ford,14.845130332288226,True
2005,150000,Petrol,Individual,Manual,Third Owner,Honda,11.082157933374816,True
